Website	https://www.vera-groningen.nl	start	Start		https://www.vera-groningen.nl	max 25 events, max 20 seconden
Website	https://www.vera-groningen.nl	event uit kaart	Confirmed Mainstage	2026-09-11	https://www.vera-groningen.nl/?post_type=events&p=152960&lang=nl	Confirmed Mainstage Friday 11 September mary in the junkyard UK support Angry weepy chaos rock trio mary in the junkyard is het Londense trio rond Clari Freeman-Taylor en geldt als een van de... Lees meer Koop ticket Sunday 7 February NAFT BEL support Brass-infused techno house NAFT is een explosieve techhouse-sensatie uit België die de kracht van koperblazers combineert met de pulserende beats... Lees meer Koop tick
Website	https://www.vera-groningen.nl	event uit kaart	mary in the junkyard UK support Angry weepy chaos rock trio	2026-09-11	https://www.vera-groningen.nl/?post_type=events&p=152960&lang=nl	Friday 11 September mary in the junkyard UK support Angry weepy chaos rock trio mary in the junkyard is het Londense trio rond Clari Freeman-Taylor en geldt als een van de... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	NAFT BEL support Brass-infused techno house	2027-02-07	https://www.vera-groningen.nl/?post_type=events&p=152860&lang=nl	Sunday 7 February NAFT BEL support Brass-infused techno house NAFT is een explosieve techhouse-sensatie uit België die de kracht van koperblazers combineert met de pulserende beats... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	FRIDAY SHOW	2026-12-18	https://www.vera-groningen.nl/?post_type=events&p=152859&lang=nl	FRIDAY SHOW Friday 18 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/?post_type=events&p=152866&lang=nl	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit detailpagina	VERA Groningen	2026-12-18	https://www.vera-groningen.nl/	VERA Groningen NL EN Home Programma Artdivision Foto’s Nieuws Info Webshop Mijn Tickets Friday 18 December Tramhaus support Koop ticket Highlights Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer Koop ticket SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam I
Website	https://www.vera-groningen.nl	event uit tekstregel	Mijn	2026-12-18	https://www.vera-groningen.nl/	Mijn Tickets | Friday 18 December | Tramhaus | support | Koop ticket | Highlights
Website	https://www.vera-groningen.nl	event uit dagblok	Highlights	2026-12-18	https://www.vera-groningen.nl/	Highlights | Friday 16 October | De Kift | NL | Nederlandse theater-punk fanfare
Website	https://www.vera-groningen.nl	event uit tekstregel	Highlights	2026-10-16	https://www.vera-groningen.nl/	Highlights | Friday 16 October | De Kift | NL | Nederlandse theater-punk fanfare | Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een...
Website	https://www.vera-groningen.nl	event uit dagblok	De Kift	2026-10-16	https://www.vera-groningen.nl/	De Kift | NL | Nederlandse theater-punk fanfare | Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... | Lees meer
Website	https://www.vera-groningen.nl	event uit dagblok	Nederlandse theater-punk fanfare	2026-10-16	https://www.vera-groningen.nl/	Nederlandse theater-punk fanfare | Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... | Lees meer | Koop ticket | SATURDAY SHOW
Website	https://www.vera-groningen.nl	event uit tekstregel	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/	SATURDAY SHOW | Saturday 19 December | Tramhaus | support | Raw postpunk from Rotterdam | In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet.
Website	https://www.vera-groningen.nl	event uit dagblok	Coming up	2026-12-19	https://www.vera-groningen.nl/	Coming up | Monday 8 June | The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out
Website	https://www.vera-groningen.nl	event uit tekstregel	Coming up	2026-06-08	https://www.vera-groningen.nl/	Coming up | Monday 8 June | The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | UBBO X ZIENEMA
Website	https://www.vera-groningen.nl	event uit dagblok	The Rocky Horror Picture Show	2026-06-08	https://www.vera-groningen.nl/	The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | UBBO X ZIENEMA | Tuesday 9 June
Website	https://www.vera-groningen.nl	event uit dagblok	Zienema	2026-06-08	https://www.vera-groningen.nl/	Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | UBBO X ZIENEMA | Tuesday 9 June | The Rocky Horror Picture Show
Website	https://www.vera-groningen.nl	event uit dagblok	UBBO X ZIENEMA	2026-06-08	https://www.vera-groningen.nl/	UBBO X ZIENEMA | Tuesday 9 June | The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out
Website	https://www.vera-groningen.nl	event uit tekstregel	UBBO X ZIENEMA	2026-06-09	https://www.vera-groningen.nl/	UBBO X ZIENEMA | Tuesday 9 June | The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | Wednesday 10 June
Website	https://www.vera-groningen.nl	event uit dagblok	The Rocky Horror Picture Show	2026-06-09	https://www.vera-groningen.nl/	The Rocky Horror Picture Show | Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | Wednesday 10 June | VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit dagblok	Zienema	2026-06-09	https://www.vera-groningen.nl/	Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 | Sold out | Wednesday 10 June | VERA Kelderbar | CLUBKAARTSHOW
Website	https://www.vera-groningen.nl	event uit tekstregel	VERA Kelderbar	2026-06-10	https://www.vera-groningen.nl/	Sold out | Wednesday 10 June | VERA Kelderbar | CLUBKAARTSHOW | Wednesday 10 June | Orkesta Mendoza
Website	https://www.vera-groningen.nl	event uit dagblok	CLUBKAARTSHOW	2026-06-10	https://www.vera-groningen.nl/	CLUBKAARTSHOW | Wednesday 10 June | Orkesta Mendoza | USA | Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00
Website	https://www.vera-groningen.nl	event uit tekstregel	CLUBKAARTSHOW	2026-06-10	https://www.vera-groningen.nl/	CLUBKAARTSHOW | Wednesday 10 June | Orkesta Mendoza | USA | Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 | Koop ticket
Website	https://www.vera-groningen.nl	event uit dagblok	Orkesta Mendoza	2026-06-10	https://www.vera-groningen.nl/	Orkesta Mendoza | USA | Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 | Koop ticket | Thursday 11 June
Website	https://www.vera-groningen.nl	event uit dagblok	Mainstage	2026-06-10	https://www.vera-groningen.nl/	Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 | Koop ticket | Thursday 11 June | VERA Kelderbar | Bekijk volledige programma
Website	https://www.vera-groningen.nl	event uit tekstregel	VERA Kelderbar	2026-06-11	https://www.vera-groningen.nl/	Koop ticket | Thursday 11 June | VERA Kelderbar | Bekijk volledige programma | News | Vacature Hoofd Administratie
Website	https://www.vera-groningen.nl	event uit dagblok	VERA Kelderbar	2026-06-11	https://www.vera-groningen.nl/	VERA Kelderbar | Bekijk volledige programma | News | Vacature Hoofd Administratie | VERA & Simplon zijn op zoek naar een Hoofd administratie. Klik hier voor de volledige vacature.
Website	https://www.vera-groningen.nl	event uit dagblok	Join the club!	2026-06-11	https://www.vera-groningen.nl/	Join the club! | VERA Clubkaart 2026 | Support VERA, koop de Clubkaart 2026! | Nieuwsbrief | Schrijf je hier in voor het laatste concert-, dans- en filmnieuws!
Website	https://www.vera-groningen.nl	event uit dagblok	VERA Clubkaart 2026	2026-06-11	https://www.vera-groningen.nl/	VERA Clubkaart 2026 | Support VERA, koop de Clubkaart 2026! | Nieuwsbrief | Schrijf je hier in voor het laatste concert-, dans- en filmnieuws! | Werken bij Vera
Website	https://www.vera-groningen.nl	event uit dagblok	Support VERA, koop de Clubkaart 2026!	2026-06-11	https://www.vera-groningen.nl/	Support VERA, koop de Clubkaart 2026! | Nieuwsbrief | Schrijf je hier in voor het laatste concert-, dans- en filmnieuws! | Werken bij Vera | Zin om een steentje bij te dragen aan Vera? Klik hier voor informatie om vrijwilliger of stagiair te worden, of voor andere vacatures
Website	https://www.vera-groningen.nl	event uit dagblok	Schrijf je hier in voor het laatste concert-, dans- en filmnieuws!	2026-06-11	https://www.vera-groningen.nl/	Schrijf je hier in voor het laatste concert-, dans- en filmnieuws! | Werken bij Vera | Zin om een steentje bij te dragen aan Vera? Klik hier voor informatie om vrijwilliger of stagiair te worden, of voor andere vacatures | Confirmed Mainstage | Friday 11 September
Website	https://www.vera-groningen.nl	event uit tekstregel	Confirmed Mainstage	2026-09-11	https://www.vera-groningen.nl/	Confirmed Mainstage | Friday 11 September | mary in the junkyard | UK | support | Angry weepy chaos rock trio
Website	https://www.vera-groningen.nl	event uit tekstregel	NAFT	2027-02-07	https://www.vera-groningen.nl/	Koop ticket | Sunday 7 February | NAFT | BEL | support | Brass-infused techno house
Website	https://www.vera-groningen.nl	event uit tekstregel	FRIDAY SHOW	2026-12-18	https://www.vera-groningen.nl/	FRIDAY SHOW | Friday 18 December | Tramhaus | support | Raw postpunk from Rotterdam | In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet.
Website	https://www.vera-groningen.nl	event uit tekstregel	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/	SATURDAY SHOW | Saturday 19 December | Tramhaus | support | Raw postpunk from Rotterdam | In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet.
Website	https://www.vera-groningen.nl	event uit dagblok	Raw postpunk from Rotterdam	2026-12-19	https://www.vera-groningen.nl/	Raw postpunk from Rotterdam | In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. | Lees meer | Koop ticket | Bekijk volledige programma
Website	https://www.vera-groningen.nl	event uit dagblok	In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet.	2026-12-19	https://www.vera-groningen.nl/	In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. | Lees meer | Koop ticket | Bekijk volledige programma | Dance Nights
Website	https://www.vera-groningen.nl	event uit dagblok	Queer club night with chaotic, high-BPM sets packed with sexy, raw and unpredictable bangers. NOT ONLY BY FAGS NOT ONLY FOR FAGS! ♡	2026-12-19	https://www.vera-groningen.nl/	Queer club night with chaotic, high-BPM sets packed with sexy, raw and unpredictable bangers. NOT ONLY BY FAGS NOT ONLY FOR FAGS! ♡ | Push It | Groovy dance night by residents Pushin Wood Soundsystem. With various guest DJs and live music in the night! Click here for the full dance night program. | Queerclub VERA | An event for and by people in the LGBTQIA+ community, but everyone is welcome!
Website	https://www.vera-groningen.nl	event uit dagblok	Push It	2026-12-19	https://www.vera-groningen.nl/	Push It | Groovy dance night by residents Pushin Wood Soundsystem. With various guest DJs and live music in the night! Click here for the full dance night program. | Queerclub VERA | An event for and by people in the LGBTQIA+ community, but everyone is welcome! | Photos
Website	https://www.vera-groningen.nl	event uit dagblok	Queerclub VERA	2026-12-19	https://www.vera-groningen.nl/	Queerclub VERA | An event for and by people in the LGBTQIA+ community, but everyone is welcome! | Photos | Live foto's | Check hier de laatste live en backstage foto's van de VERA fotogroep of snuffel door het rijke archief.
Website	https://www.vera-groningen.nl	event uit dagblok	An event for and by people in the LGBTQIA+ community, but everyone is welcome!	2026-12-19	https://www.vera-groningen.nl/	An event for and by people in the LGBTQIA+ community, but everyone is welcome! | Photos | Live foto's | Check hier de laatste live en backstage foto's van de VERA fotogroep of snuffel door het rijke archief. | VERA in foto's
Website	https://www.vera-groningen.nl	event uit dagblok	Nederland	2026-12-19	https://www.vera-groningen.nl/	Nederland | 050 313 46 81 | contact | Openingstijden: | Zie het event
Website	https://www.vera-groningen.nl	event uit dagblok	050 313 46 81	2026-12-19	https://www.vera-groningen.nl/	050 313 46 81 | contact | Openingstijden: | Zie het event | Kelderbar:
Website	https://www.vera-groningen.nl	event uit dagblok	Openingstijden:	2026-12-19	https://www.vera-groningen.nl/	Openingstijden: | Zie het event | Kelderbar: | Check de openingstijden | hier
Website	https://www.vera-groningen.nl	event uit dagblok	Zie het event	2026-12-19	https://www.vera-groningen.nl/	Zie het event | Kelderbar: | Check de openingstijden | hier | Nieuwsbrief:
Website	https://www.vera-groningen.nl	ok	Pagina geanalyseerd		https://www.vera-groningen.nl/	41 events op deze pagina
Website	https://www.vera-groningen.nl	detail-link gevonden	Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer		https://www.vera-groningen.nl/?post_type=events&p=152075&lang=nl	Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	Zie het event		https://www.vera-groningen.nl/programma/	Zie het event
Website	https://www.vera-groningen.nl	detail-link gevonden	Club VERA Expect a night packed with VERA classics and fresh discoveries: from indie anthems to underground pop gems.		https://www.vera-groningen.nl/programma/?category=dansen&lang=nl	Club VERA Expect a night packed with VERA classics and fresh discoveries: from indie anthems to underground pop gems.
Website	https://www.vera-groningen.nl	detail-link gevonden	CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket		https://www.vera-groningen.nl/?post_type=events&p=151834&lang=nl	CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out		https://www.vera-groningen.nl/?post_type=events&p=152412&lang=nl	UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	detail-link gevonden	Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out		https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	detail-link gevonden	Wednesday 10 June VERA Kelderbar		https://www.vera-groningen.nl/?post_type=events&p=152728&lang=nl	Wednesday 10 June VERA Kelderbar
Website	https://www.vera-groningen.nl	detail-link gevonden	Thursday 11 June VERA Kelderbar		https://www.vera-groningen.nl/?post_type=events&p=152729&lang=nl	Thursday 11 June VERA Kelderbar
Website	https://www.vera-groningen.nl	detail-link gevonden	Friday 18 December Tramhaus support Koop ticket		https://www.vera-groningen.nl/?post_type=events&p=152859&lang=nl	Friday 18 December Tramhaus support Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	Sunday 7 February NAFT BEL support Brass-infused techno house NAFT is een explosieve techhouse-sensatie uit België die de kracht van koperblazers combineert met de pulserende beats		https://www.vera-groningen.nl/?post_type=events&p=152860&lang=nl	Sunday 7 February NAFT BEL support Brass-infused techno house NAFT is een explosieve techhouse-sensatie uit België die de kracht van koperblazers combineert met de pulserende beats... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees mee		https://www.vera-groningen.nl/?post_type=events&p=152866&lang=nl	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	Friday 11 September mary in the junkyard UK support Angry weepy chaos rock trio mary in the junkyard is het Londense trio rond Clari Freeman-Taylor en geldt als een van de... Lees		https://www.vera-groningen.nl/?post_type=events&p=152960&lang=nl	Friday 11 September mary in the junkyard UK support Angry weepy chaos rock trio mary in the junkyard is het Londense trio rond Clari Freeman-Taylor en geldt als een van de... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	detail-link gevonden	Mijn Tickets		https://www.vera-groningen.nl/mijn-tickets/	Mijn Tickets
Website	https://www.vera-groningen.nl	detail-link gevonden	Bekijk volledige programma		https://www.vera-groningen.nl/?page_id=85630&lang=nl	Bekijk volledige programma
Website	https://www.vera-groningen.nl	detail-link gevonden	Artdivision		https://www.vera-groningen.nl/art-division/	Artdivision
Website	https://www.vera-groningen.nl	detail-link gevonden	Artwork Ook voor de Downstage bands en Dansavonden wordt artwork gemaakt. Check hier de laatste ontwerpen!		https://www.vera-groningen.nl/art-division/?category=other&lang=nl	Artwork Ook voor de Downstage bands en Dansavonden wordt artwork gemaakt. Check hier de laatste ontwerpen!
Website	https://www.vera-groningen.nl	detail-link gevonden	Zeefdrukposters Bekijk hier de laatste zeefdrukposters, ontworpen en gedrukt door de VERA Artdivision op onze eigen zeefdrukzolder!		https://www.vera-groningen.nl/art-division/?category=poster&lang=nl	Zeefdrukposters Bekijk hier de laatste zeefdrukposters, ontworpen en gedrukt door de VERA Artdivision op onze eigen zeefdrukzolder!
Website	https://www.vera-groningen.nl	detail-link gevonden	Info & Exposities Lees hier meer over de VERA Artdivision, posterverkoop en exposities buiten de deur.		https://www.vera-groningen.nl/exposities/?lang=nl	Info & Exposities Lees hier meer over de VERA Artdivision, posterverkoop en exposities buiten de deur.
Website	https://www.vera-groningen.nl	detail-link gevonden	VERA in foto's Nog nooit binnen geweest? Check hier foto's van de Grote Zaal, Kelderbar, backstage en meer.		https://www.vera-groningen.nl/fotogalerij/vera-public-spaces?lang=nl	VERA in foto's Nog nooit binnen geweest? Check hier foto's van de Grote Zaal, Kelderbar, backstage en meer.
Website	https://www.vera-groningen.nl	detail-link gevonden	Info		https://www.vera-groningen.nl/info-pages/	Info
Website	https://www.vera-groningen.nl	detail-link gevonden	hier		https://www.vera-groningen.nl/info/route-parkeren/?lang=nl	hier
Website	https://www.vera-groningen.nl	detail-link gevonden	VERA Clubkaart 2026 Support VERA, koop de Clubkaart 2026!		https://www.vera-groningen.nl/info/vera-clubkaart/?lang=nl	VERA Clubkaart 2026 Support VERA, koop de Clubkaart 2026!
